,學校代碼,學校名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別,學年度
0,1,國立政治大學,D 日,D 博士,117,76,79,62,94,58,98,57,75,53,61,43,59,41,0,0,30 臺北市,1 一般,103
1,1,國立政治大學,D 日,M 碩士,626,707,573,683,344,404,207,272,0,0,0,0,0,0,0,0,30 臺北市,1 一般,103
2,1,國立政治大學,D 日,B 學士,859,1359,843,1423,857,1394,881,1350,0,0,0,0,0,0,271,402,30 臺北市,1 一般,103
3,1,國立政治大學,N 職,M 碩士,314,233,294,257,154,142,67,77,46,41,0,0,0,0,0,0,30 臺北市,1 一般,103
4,2,國立清華大學,D 日,D 博士,248,58,219,54,213,55,220,56,189,50,152,62,141,46,21,2,18 新竹市,1 一般,103
5,2,國立清華大學,D 日,M 碩士,1149,511,1044,508,351,141,93,109,0,0,0,0,0,0,8,6,18 新竹市,1 一般,103
6,2,國立清華大學,D 日,B 學士,940,517,994,537,1009,506,963,547,0,0,0,0,0,0,179,88,18 新竹市,1 一般,103
7,2,國立清華大學,N 職,M 碩士,78,46,65,51,23,12,9,4,0,0,0,0,0,0,9,8,18 新竹市,1 一般,103
8,3,國立臺灣大學,D 日,D 博士,489,201,432,178,463,176,486,201,411,197,359,169,344,159,0,0,30 臺北市,1 一般,103
9,3,國立臺灣大學,D 日,M 碩士,2429,1510,2296,1407,833,622,382,373,0,0,0,0,0,0,0,0,30 臺北市,1 一般,103
10,3,國立臺灣大學,D 日,B 學士,2028,1612,2139,1636,2156,1612,2058,1625,178,68,136,52,93,25,637,450,30 臺北市,1 一般,103
11,3,國立臺灣大學,N 職,M 碩士,252,129,255,142,166,79,51,23,30,8,17,8,0,0,0,0,30 臺北市,1 一般,103
12,3,國立臺灣大學,P 進,B 學士,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,30 臺北市,1 一般,103
13,4,國立臺灣師範大學,D 日,D 博士,132,110,114,113,113,100,100,99,97,85,81,75,74,59,0,0,30 臺北市,3 師範,103
14,4,國立臺灣師範大學,D 日,M 碩士,601,731,520,688,331,508,186,374,0,0,0,0,0,0,0,0,30 臺北市,3 師範,103
15,4,國立臺灣師範大學,D 日,B 學士,836,1097,803,1073,722,1068,754,1037,0,0,0,0,0,0,254,221,30 臺北市,3 師範,103
16,4,國立臺灣師範大學,N 職,M 碩士,156,340,112,226,69,186,53,153,46,87,21,53,0,0,0,0,30 臺北市,3 師範,103
17,4,國立臺灣師範大學,S 暑,M 碩士,26,81,8,52,20,87,10,37,10,48,1,2,0,0,0,0,30 臺北市,3 師範,103
18,5,國立成功大學,D 日,D 博士,264,131,215,94,280,93,270,89,267,106,248,85,283,70,0,0,21 臺南市,1 一般,103
19,5,國立成功大學,D 日,M 碩士,1846,990,1726,913,403,329,140,153,0,0,0,0,0,0,0,0,21 臺南市,1 一般,103
20,5,國立成功大學,D 日,B 學士,1763,1054,1737,996,1659,929,1587,1013,67,38,52,19,49,21,315,137,21 臺南市,1 一般,103
21,5,國立成功大學,N 職,M 碩士,281,174,248,147,165,89,77,23,41,22,0,0,0,0,0,0,21 臺南市,1 一般,103
22,6,國立中興大學,D 日,D 博士,132,46,131,39,129,48,131,51,134,51,120,37,117,42,4,3,19 臺中市,1 一般,103
23,6,國立中興大學,D 日,M 碩士,904,537,832,482,263,177,84,74,0,0,0,0,0,0,5,4,19 臺中市,1 一般,103
24,6,國立中興大學,D 日,B 學士,1092,790,1182,831,1139,806,1131,781,36,38,0,0,0,0,176,72,19 臺中市,1 一般,103
25,6,國立中興大學,D 日,X 4+X,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19 臺中市,1 一般,103
26,6,國立中興大學,N 職,M 碩士,341,173,387,193,209,64,124,44,82,27,0,0,0,0,0,0,19 臺中市,1 一般,103
27,6,國立中興大學,P 進,B 學士,99,134,86,143,74,140,87,109,71,96,0,0,0,0,2,5,19 臺中市,1 一般,103
28,7,國立交通大學,D 日,D 博士,280,71,254,51,230,44,216,58,235,53,187,31,176,32,36,11,18 新竹市,1 一般,103
29,7,國立交通大學,D 日,M 碩士,1458,600,1359,582,703,289,152,95,0,0,0,0,0,0,0,4,18 新竹市,1 一般,103
30,7,國立交通大學,D 日,B 學士,931,418,929,401,870,407,886,385,0,0,0,0,0,0,160,45,18 新竹市,1 一般,103
31,7,國立交通大學,N 職,M 碩士,252,128,370,142,215,71,140,34,0,0,0,0,0,0,130,20,18 新竹市,1 一般,103
32,8,國立中央大學,D 日,D 博士,150,57,130,33,130,35,135,41,115,39,113,27,129,34,6,1,03 桃園縣,1 一般,103
33,8,國立中央大學,D 日,M 碩士,967,422,964,389,237,123,91,67,0,0,0,0,0,0,1,3,03 桃園縣,1 一般,103
34,8,國立中央大學,D 日,B 學士,966,544,924,535,997,500,974,458,0,0,0,0,0,0,152,48,03 桃園縣,1 一般,103
35,8,國立中央大學,N 職,M 碩士,335,163,304,162,109,64,78,22,75,15,0,0,0,0,0,0,03 桃園縣,1 一般,103
36,9,國立中山大學,D 日,D 博士,96,47,93,37,106,47,104,40,91,32,75,34,70,35,1,0,50 高雄市,1 一般,103
37,9,國立中山大學,D 日,M 碩士,795,392,725,403,263,171,95,78,0,0,0,0,0,0,1,0,50 高雄市,1 一般,103
38,9,國立中山大學,D 日,B 學士,703,431,720,415,701,389,681,413,0,0,0,0,0,0,139,63,50 高雄市,1 一般,103
39,9,國立中山大學,N 職,M 碩士,177,157,151,134,56,52,36,28,0,0,0,0,0,0,25,16,50 高雄市,1 一般,103
40,9,國立中山大學,S 暑,M 碩士,1,4,1,4,2,6,0,3,0,0,0,0,0,0,2,3,50 高雄市,1 一般,103
41,12,國立臺灣海洋大學,D 日,D 博士,52,9,31,14,33,9,35,11,42,7,34,9,35,3,8,2,17 基隆市,1 一般,103
42,12,國立臺灣海洋大學,D 日,M 碩士,422,187,451,176,126,32,21,12,0,0,0,0,0,0,3,0,17 基隆市,1 一般,103
43,12,國立臺灣海洋大學,D 日,B 學士,942,430,900,416,915,414,902,344,0,0,0,0,0,0,125,21,17 基隆市,1 一般,103
44,12,國立臺灣海洋大學,N 職,M 碩士,154,81,139,77,43,26,22,9,0,0,0,0,0,0,7,4,17 基隆市,1 一般,103
45,12,國立臺灣海洋大學,N 修,X 4+X,74,7,41,2,0,0,0,0,0,0,0,0,0,0,0,0,17 基隆市,1 一般,103
46,12,國立臺灣海洋大學,P 進,B 學士,67,56,75,48,71,51,55,57,0,0,0,0,0,0,18,14,17 基隆市,1 一般,103
47,13,國立中正大學,D 日,D 博士,68,31,51,36,62,23,62,18,60,26,65,31,57,29,5,1,10 嘉義縣,1 一般,103
48,13,國立中正大學,D 日,M 碩士,700,372,713,330,286,210,133,123,0,0,0,0,0,0,3,3,10 嘉義縣,1 一般,103
49,13,國立中正大學,D 日,B 學士,859,745,854,787,846,767,772,750,0,0,0,0,0,0,173,78,10 嘉義縣,1 一般,103
50,13,國立中正大學,N 職,M 碩士,248,271,199,246,126,121,130,101,147,118,0,2,0,0,0,0,10 嘉義縣,1 一般,103
51,14,國立高雄師範大學,D 日,D 博士,45,33,36,47,43,34,34,34,25,31,15,27,29,23,5,4,50 高雄市,3 師範,103
52,14,國立高雄師範大學,D 日,M 碩士,207,263,161,250,101,200,71,146,0,0,0,0,0,0,9,20,50 高雄市,3 師範,103
53,14,國立高雄師範大學,D 日,B 學士,409,439,401,446,359,456,354,460,0,0,0,0,0,0,50,59,50 高雄市,3 師範,103
54,14,國立高雄師範大學,N 職,M 碩士,137,236,97,243,113,171,48,77,36,69,17,41,0,0,1,0,50 高雄市,3 師範,103
55,15,國立彰化師範大學,D 日,D 博士,58,33,50,30,36,26,41,29,40,16,27,9,32,38,0,0,07 彰化縣,3 師範,103
56,15,國立彰化師範大學,D 日,M 碩士,298,270,268,246,131,132,62,120,0,0,0,0,0,0,0,0,07 彰化縣,3 師範,103
57,15,國立彰化師範大學,D 日,B 學士,616,562,591,564,617,567,598,582,0,0,0,0,0,0,117,44,07 彰化縣,3 師範,103
58,15,國立彰化師範大學,N 職,M 碩士,156,154,168,160,42,50,34,24,26,27,46,40,0,0,0,0,07 彰化縣,3 師範,103
59,15,國立彰化師範大學,S 暑,M 碩士,26,45,26,44,29,26,14,28,13,0,15,42,0,0,0,0,07 彰化縣,3 師範,103
60,16,國立陽明大學,D 日,D 博士,106,60,91,65,87,70,90,61,91,71,60,40,67,48,0,0,30 臺北市,1 一般,103
61,16,國立陽明大學,D 日,M 碩士,215,309,212,296,79,76,18,26,0,0,0,0,0,0,0,4,30 臺北市,1 一般,103
62,16,國立陽明大學,D 日,B 學士,213,189,207,199,216,176,199,181,100,63,110,71,83,38,25,7,30 臺北市,1 一般,103
63,16,國立陽明大學,N 職,M 碩士,13,28,10,26,4,12,3,13,0,3,0,0,0,0,0,0,30 臺北市,1 一般,103
