學校名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,學年度
國立政治大學,日,博士,117,76,79,62,94,58,98,57,75,53,61,43,59,41,0,0,臺北市,103
國立政治大學,日,碩士,626,707,573,683,344,404,207,272,0,0,0,0,0,0,0,0,臺北市,103
國立政治大學,日,學士,859,1359,843,1423,857,1394,881,1350,0,0,0,0,0,0,271,402,臺北市,103
國立政治大學,職,碩士,314,233,294,257,154,142,67,77,46,41,0,0,0,0,0,0,臺北市,103
國立清華大學,日,博士,248,58,219,54,213,55,220,56,189,50,152,62,141,46,21,2,新竹市,103
國立清華大學,日,碩士,1149,511,1044,508,351,141,93,109,0,0,0,0,0,0,8,6,新竹市,103
國立清華大學,日,學士,940,517,994,537,1009,506,963,547,0,0,0,0,0,0,179,88,新竹市,103
國立清華大學,職,碩士,78,46,65,51,23,12,9,4,0,0,0,0,0,0,9,8,新竹市,103
國立臺灣大學,日,博士,489,201,432,178,463,176,486,201,411,197,359,169,344,159,0,0,臺北市,103
國立臺灣大學,日,碩士,2429,1510,2296,1407,833,622,382,373,0,0,0,0,0,0,0,0,臺北市,103
國立臺灣大學,日,學士,2028,1612,2139,1636,2156,1612,2058,1625,178,68,136,52,93,25,637,450,臺北市,103
國立臺灣大學,職,碩士,252,129,255,142,166,79,51,23,30,8,17,8,0,0,0,0,臺北市,103
國立臺灣大學,進,學士,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,臺北市,103
國立臺灣師範大學,日,博士,132,110,114,113,113,100,100,99,97,85,81,75,74,59,0,0,臺北市,103
國立臺灣師範大學,日,碩士,601,731,520,688,331,508,186,374,0,0,0,0,0,0,0,0,臺北市,103
國立臺灣師範大學,日,學士,836,1097,803,1073,722,1068,754,1037,0,0,0,0,0,0,254,221,臺北市,103
國立臺灣師範大學,職,碩士,156,340,112,226,69,186,53,153,46,87,21,53,0,0,0,0,臺北市,103
